"","pl_101","pl_102","pl_104","pl_106","pl_107","pl_111","pl_112","pl_113","pl_118","pl_119"
"LOC111322336",0,0,0,1,1,0,0,0,0,1
"LOC111323266",31,31,15,10,18,8,16,21,24,33
"LOC111322739",11,9,6,2,3,4,8,10,6,10
"LOC111323224",19,23,4,5,5,3,5,4,8,5
"LOC111323232",3,1,0,1,0,0,3,3,2,5
"LOC111323215",0,1,0,0,0,1,1,0,2,0
"LOC111324300",66,69,25,12,27,28,34,65,26,50
"LOC111322749",0,2,0,0,0,0,0,1,0,0
"LOC111323105",13,6,2,3,6,6,5,1,3,3
"LOC111323113",26,24,4,9,14,13,11,13,17,24
"LOC111322555",29,22,9,11,13,17,12,22,23,13
"LOC111322566",2,10,1,1,1,0,0,8,2,4
"LOC111322581",62,79,27,23,26,42,29,45,44,48
"LOC111324214",67,35,17,7,8,21,24,46,30,45
"LOC111322613",42,57,17,13,13,21,19,37,19,39
"LOC111322602",0,0,0,0,0,0,0,0,0,0
"LOC111322591",192,193,122,57,166,205,256,385,252,224
"LOC111324153",0,0,2,0,0,0,0,0,0,1
"LOC111323310",0,1,1,0,0,1,0,0,1,3
"Trnas-acu",0,0,0,0,0,0,0,0,0,0
"LOC111322396",2,5,0,0,1,6,3,0,3,2
"LOC111322422",0,0,2,1,0,1,0,0,1,1
"LOC111322758",1,1,0,1,3,1,1,3,3,2
"LOC111323978",109,131,35,20,20,61,35,88,39,49
"LOC111323731",1,1,1,1,0,0,0,1,1,1
"LOC111323747",3,3,2,0,0,0,1,2,1,2
"LOC111322346",2,0,2,0,0,0,0,1,1,1
"LOC111324241",2,1,1,3,0,1,0,1,0,0
"LOC111323807",0,0,1,0,0,0,0,0,0,0
"LOC111323564",5,3,5,4,2,6,3,8,4,0
"LOC111323578",3,6,3,0,0,2,3,1,0,1
"LOC111323539",26,19,4,7,3,19,4,4,4,10
"LOC111323685",40,40,26,24,21,18,31,36,37,23
"LOC111323829",0,0,0,0,0,0,0,0,0,0
"LOC111323490",0,0,0,0,0,0,0,0,0,0
