ID,Description,p.adjust,mean_logFC,n_genes_matched,contrast,z_logFC,Description_ordered
GO:0022617,extracellular matrix disassembly,0.03054968012732391,2.7294920198310537,5,FLvNF,1.1976716458818941,extracellular matrix disassembly
GO:0030155,regulation of cell adhesion,0.00389435273470691,1.8825480613584538,19,FLvNF,-0.5126139887568609,regulation of cell adhesion
GO:0030195,negative regulation of blood coagulation,0.00438845423444507,1.8725473334457199,4,FLvNF,-0.5328090690971534,negative regulation of blood coagulation
GO:0030198,extracellular matrix organization,6.178218460653462e-18,2.1332061611868367,34,FLvNF,-0.006444787059675197,extracellular matrix organization
GO:0030199,collagen fibril organization,7.923043632900459e-4,2.39213839234835,6,FLvNF,0.5164328731094118,collagen fibril organization
GO:0030414,peptidase inhibitor activity,0.01490563499356176,2.5865478552803465,6,FLvNF,0.9090157687830055,peptidase inhibitor activity
GO:0030424,axon,0.04491065876549355,1.999958032453882,21,FLvNF,-0.275520867164733,axon
GO:0030510,regulation of BMP signaling pathway,0.01766109639254118,2.2456721609430343,7,FLvNF,0.22066467141641752,regulation of BMP signaling pathway
GO:0030517,negative regulation of axon extension,0.01440698246019615,2.0748569215871275,4,FLvNF,-0.12427296834742903,negative regulation of axon extension
GO:0030545,signaling receptor regulator activity,0.00130127312784755,2.232634550021059,8,FLvNF,0.19433702783764198,signaling receptor regulator activity
GO:0030574,collagen catabolic process,1.6940175681021507e-4,1.8848609624149515,7,FLvNF,-0.5079434064689812,collagen catabolic process
GO:0031012,extracellular matrix,1.113653615983471e-19,1.894651336739397,35,FLvNF,-0.4881731059699585,extracellular matrix
GO:0031983,vesicle lumen,3.9689383389273166e-4,2.2439688402694995,17,FLvNF,0.21722505200596265,vesicle lumen
GO:0032101,regulation of response to external stimulus,0.01893595453131025,2.223202851453212,21,FLvNF,0.17529102318826437,regulation of response to external stimulus
GO:0032102,negative regulation of response to external stimulus,0.00234736201771501,2.210745157001318,13,FLvNF,0.15013444033688225,negative regulation of response to external stimulus
GO:0032368,regulation of lipid transport,0.01131419115576971,1.7425653584781071,7,FLvNF,-0.7952896055307507,regulation of lipid transport
GO:0033197,response to vitamin E,0.04248595872087747,2.43644230782729,3,FLvNF,0.6058984740430678,response to vitamin E
GO:0033273,response to vitamin,0.00169327316113912,2.5383154343022927,8,FLvNF,0.8116170968904979,response to vitamin
GO:0033993,response to lipid,0.02092641016234363,2.1802144752506343,22,FLvNF,0.08848197101873542,response to lipid
GO:0034774,secretory granule lumen,0.00169327316113912,2.2759794682600574,15,FLvNF,0.2818660671054139,secretory granule lumen
GO:0035017,cuticle pattern formation,0.0448196635976944,2.0830205149860523,4,FLvNF,-0.10778772587354396,cuticle pattern formation
GO:0035094,response to nicotine,0.0448196635976944,2.715885296977345,4,FLvNF,1.1701947598395437,response to nicotine
GO:0035108,limb morphogenesis,0.00939729595711465,2.277517129239009,9,FLvNF,0.28497115978236975,limb morphogenesis
GO:0035272,exocrine system development,0.01566162884372473,2.212832615167805,10,FLvNF,0.1543497720354405,exocrine system development
GO:0035336,long-chain fatty-acyl-CoA metabolic process,2.2613867808591464e-4,1.627871023652044,5,FLvNF,-1.0268988770358256,long-chain fatty-acyl-CoA metabolic process
GO:0035578,azurophil granule lumen,0.00596002565965054,2.3314467299928725,8,FLvNF,0.39387449456437273,azurophil granule lumen
GO:0035904,aorta development,0.03523099268546427,1.74872012724953,5,FLvNF,-0.7828609052501896,aorta development
GO:0035909,aorta morphogenesis,0.02071329222925609,1.8352053673078426,4,FLvNF,-0.6082159807539235,aorta morphogenesis
GO:0038023,signaling receptor activity,6.132573246114744e-5,2.150057706983492,24,FLvNF,0.027584568022393303,signaling receptor activity
GO:0040013,negative regulation of locomotion,0.01073807367610462,2.4479983121547724,12,FLvNF,0.6292342189851058,negative regulation of locomotion
GO:0042060,wound healing,0.02092641016234363,2.185418990198867,15,FLvNF,0.09899176574857575,wound healing
GO:0042063,gliogenesis,0.0223194211304946,2.087572957931368,12,FLvNF,-0.09859469994308251,gliogenesis
GO:0042330,taxis,3.885565812097517e-5,2.2721490695778224,29,FLvNF,0.27413110923053857,taxis
GO:0042471,ear morphogenesis,0.01771459214984938,2.5514042040795424,8,FLvNF,0.8380480486685763,ear morphogenesis
GO:0042472,inner ear morphogenesis,0.0102565754776229,2.5514042040795424,8,FLvNF,0.8380480486685763,inner ear morphogenesis
GO:0042475,odontogenesis of dentin-containing tooth,0.02303982169133542,2.0858256423312933,6,FLvNF,-0.10212316099424541,odontogenesis of dentin-containing tooth
GO:0042476,odontogenesis,0.00974099214530295,1.993367798616745,8,FLvNF,-0.28882892863422166,odontogenesis
